category,sample,n_features_used,coverage,total_occurrences,shannon_entropy,normalized_entropy,gini_simpson,effective_n
syntax,codesample_10#01,20,0.5128205128205128,179,2.524099489254361,0.84256510888401,0.89710058986923,12.479652141235308
syntax,codesample_10#02,14,0.358974358974359,78,2.3964421315091755,0.9080674772073053,0.8928336620644314,10.984027054103183
syntax,codesample_10#03,19,0.48717948717948717,106,2.3054990558559805,0.7830011327008919,0.8470986116055537,10.029182125785514
syntax,codesample_10#04,13,0.3333333333333333,74,2.0329044409449213,0.7925709858680537,0.8327246165084002,7.636233169441629
syntax,codesample_10#05,9,0.23076923076923078,27,2.033763222056375,0.9256055311933499,0.850480109739369,7.642793838936512
syntax,codesample_10#06,13,0.3333333333333333,48,2.184125229815662,0.8515276231329704,0.8394097222222222,8.882874679769603
syntax,codesample_10#07,15,0.38461538461538464,32,2.4826782247437387,0.9167770315828184,0.8984375,11.973288672618077
syntax,codesample_10#08,12,0.3076923076923077,45,1.7978799042062246,0.7235200985757797,0.739753086419753,6.036835218663028
syntax,codesample_10#09,16,0.41025641025641024,73,2.2482586618130034,0.8108879055083192,0.8643272659035466,9.471228855927347
syntax,codesample_10#10,11,0.28205128205128205,64,1.892475437579951,0.789223557445614,0.81591796875,6.63577481283149
stdlib,codesample_10#01,3,0.15,4,1.0397207708399179,0.946394630357186,0.625,2.82842712474619
stdlib,codesample_10#02,0,0.0,0,0.0,0.0,0.0,0.0
stdlib,codesample_10#03,3,0.15,3,1.0986122886681096,0.9999999999999998,0.6666666666666667,2.9999999999999996
stdlib,codesample_10#04,3,0.15,8,1.0397207708399179,0.946394630357186,0.625,2.82842712474619
stdlib,codesample_10#05,1,0.05,1,-0.0,0.0,0.0,1.0
stdlib,codesample_10#06,0,0.0,0,0.0,0.0,0.0,0.0
stdlib,codesample_10#07,0,0.0,0,0.0,0.0,0.0,0.0
stdlib,codesample_10#08,4,0.2,5,1.3321790402101223,0.9609640474436812,0.72,3.7892914162759954
stdlib,codesample_10#09,3,0.15,8,1.0397207708399179,0.946394630357186,0.625,2.82842712474619
stdlib,codesample_10#10,6,0.3,14,1.7721393884375285,0.9890498244170132,0.826530612244898,5.883426842166355
