filename,model,token_count,pass_at_k,passed_problems,total_problems,efficiency_per_1k_tokens,timestamp
spec_ja.md,gpt-5.4-2026-03-05,3668,42.07,69,164,11.4695,20260422_172231
guide_ja.md,gpt-5.4-2026-03-05,4867,51.83,85,164,10.6493,20260422_143621
pyguide_ja.md,gpt-5.4-2026-03-05,5686,54.27,89,164,9.5445,20260422_153839
combined/hamari_codesample_10-codesample_10.md,gpt-5.4-2026-03-05,7211,67.07,110,164,9.3011,20260426_062859
hamari_codesample_10.md,gpt-5.4-2026-03-05,1957,17.07,28,164,8.7225,20260425_164629
hamari_codesample_all.md,gpt-5.4-2026-03-05,2093,17.07,28,164,8.1558,20260425_172453
rustguide_ja.md,gpt-5.4-2026-03-05,6825,51.83,85,164,7.5941,20260422_171055
codesample_10.md,gpt-5.4-2026-03-05,5260,35.98,59,164,6.8403,20260422_131452
guide_ja.md,claude-haiku-4-5,4867,32.93,54,164,6.766,20260422_203929
codesample_13.md,gpt-5.4-2026-03-05,6148,41.46,68,164,6.7437,20260425_175901
combined/ebnf_ja-codesample_10.md,gpt-5.4-2026-03-05,7179,46.34,76,164,6.4549,20260426_013326
combined/spec_ja-codesample_10.md,gpt-5.4-2026-03-05,8922,55.49,91,164,6.2195,20260426_052857
hamari_codesample_all.md,claude-haiku-4-5,2093,12.8,21,164,6.1156,20260425_174124
combined/hamari_codesample_10-codesample_10.md,claude-haiku-4-5,7211,43.9,72,164,6.0879,20260426_173503
combined/apidoc_ja_only-codesample_10.md,gpt-5.4-2026-03-05,7220,42.68,70,164,5.9114,20260426_001521
codesample_random10.md,claude-haiku-4-5,6255,34.76,57,164,5.5572,20260425_222224
codesample_20.md,gpt-5.4-2026-03-05,9562,53.05,87,164,5.548,20260425_182323
combined/guide_ja-codesample_10.md,gpt-5.4-2026-03-05,10121,56.1,92,164,5.5429,20260426_023231
combined/pyguide_ja-codesample_10.md,gpt-5.4-2026-03-05,10940,59.76,98,164,5.4625,20260426_031808
codesample_random10.md,gpt-5.4-2026-03-05,6255,34.15,56,164,5.4596,20260425_221116
hamari_ja.md,gpt-5.4-2026-03-05,4212,22.56,37,164,5.3561,20260422_151608
codesample_10plus_15.md,gpt-5.4-2026-03-05,8704,43.9,72,164,5.0437,20260425_191206
combined/rustguide_ja-codesample_10.md,gpt-5.4-2026-03-05,12079,60.37,99,164,4.9979,20260426_040627
combined/apidoc_ja_only-codesample_10.md,claude-haiku-4-5,7220,34.76,57,164,4.8144,20260426_002632
combined/spec_ja-codesample_10.md,claude-haiku-4-5,8922,42.07,69,164,4.7153,20260426_054127
spec_ja.md,claude-haiku-4-5,3668,17.07,28,164,4.6538,20260422_224448
pyguide_ja.md,claude-haiku-4-5,5686,26.22,43,164,4.6113,20260422_211415
combined/guide_ja-codesample_10.md,claude-haiku-4-5,10121,45.12,74,164,4.4581,20260426_144328
combined/ebnf_ja-codesample_10.md,claude-haiku-4-5,7179,31.71,52,164,4.417,20260426_014408
hamari_codesample_10.md,claude-haiku-4-5,1957,8.54,14,164,4.3638,20260425_170502
codesample_10.md,claude-haiku-4-5,5260,22.56,37,164,4.289,20260422_195612
codesample_13.md,claude-haiku-4-5,6148,26.22,43,164,4.2648,20260425_180951
codesample_10plus_15.md,claude-haiku-4-5,8704,36.59,60,164,4.2038,20260425_192333
rustguide_ja.md,claude-haiku-4-5,6825,27.44,45,164,4.0205,20260422_223046
codesample_20.md,claude-haiku-4-5,9562,37.2,61,164,3.8904,20260425_184518
combined/pyguide_ja-codesample_10.md,claude-haiku-4-5,10940,41.46,68,164,3.7898,20260426_152501
combined/hamari_codesample_all-codesample_all.md,gpt-5.4-2026-03-05,20494,75.0,123,164,3.6596,20260426_064019
combined/rustguide_ja-codesample_10.md,claude-haiku-4-5,12079,38.41,63,164,3.1799,20260426_041847
ebnf_ja.md,gpt-5.4-2026-03-05,1925,6.1,10,164,3.1688,20260422_142522
codesample_all.md,gpt-5.4-2026-03-05,18407,51.83,85,164,2.8158,20260422_140635
combined/ebnf_ja-codesample_all.md,gpt-5.4-2026-03-05,20326,56.71,93,164,2.79,20260426_015659
combined/hamari_codesample_all-codesample_all.md,claude-haiku-4-5,20494,56.1,92,164,2.7374,20260426_175037
combined/apidoc_ja_only-codesample_all.md,gpt-5.4-2026-03-05,20367,54.88,90,164,2.6946,20260426_003956
combined/spec_ja-codesample_all.md,gpt-5.4-2026-03-05,22069,58.54,96,164,2.6526,20260426_055518
combined/guide_ja-codesample_all.md,gpt-5.4-2026-03-05,23268,61.59,101,164,2.647,20260426_024625
combined/pyguide_ja-codesample_all.md,gpt-5.4-2026-03-05,24087,63.41,104,164,2.6325,20260426_033344
codesample_allplus_40.md,gpt-5.4-2026-03-05,23398,59.76,98,164,2.5541,20260425_193642
combined/rustguide_ja-codesample_all.md,gpt-5.4-2026-03-05,25226,59.15,97,164,2.3448,20260426_043208
codesample_all.md,claude-haiku-4-5,18407,42.07,69,164,2.2855,20260422_200905
combined/spec_ja-codesample_all.md,claude-haiku-4-5,22069,48.78,80,164,2.2103,20260426_183801
codesample_full_45.md,gpt-5.4-2026-03-05,26842,59.15,97,164,2.2036,20260425_200408
combined/ebnf_ja-codesample_all.md,claude-haiku-4-5,20326,44.51,73,164,2.1898,20260426_181930
combined/apidoc_ja_only-codesample_all.md,claude-haiku-4-5,20367,43.9,72,164,2.1554,20260426_005120
combined/spec_ja-codesample_full_45.md,gpt-5.4-2026-03-05,30504,64.63,106,164,2.1187,20260426_061521
codesample_allplus_40.md,claude-haiku-4-5,23398,48.78,80,164,2.0848,20260425_194900
combined/apidoc_ja_only-codesample_full_45.md,gpt-5.4-2026-03-05,28802,59.76,98,164,2.0749,20260426_010614
combined/guide_ja-codesample_all.md,claude-haiku-4-5,23268,48.17,79,164,2.0702,20260426_145621
combined/ebnf_ja-codesample_full_45.md,gpt-5.4-2026-03-05,28761,58.54,96,164,2.0354,20260426_021857
combined/guide_ja-codesample_full_45.md,gpt-5.4-2026-03-05,31703,64.02,105,164,2.0194,20260426_030315
combined/rustguide_ja-codesample_all.md,claude-haiku-4-5,25226,50.61,83,164,2.0063,20260426_044532
combined/pyguide_ja-codesample_all.md,claude-haiku-4-5,24087,47.56,78,164,1.9745,20260426_153844
combined/apidoc_ja_only-codesample_full_45.md,claude-haiku-4-5,28802,55.49,91,164,1.9266,20260426_011826
combined/rustguide_ja-codesample_full_45.md,gpt-5.4-2026-03-05,33661,62.8,103,164,1.8657,20260426_045952
codesample_full_45.md,claude-haiku-4-5,26842,50.0,82,164,1.8628,20260425_215648
combined/pyguide_ja-codesample_full_45.md,gpt-5.4-2026-03-05,32522,60.37,99,164,1.8563,20260426_034946
combined/spec_ja-codesample_full_45.md,claude-haiku-4-5,30504,54.88,90,164,1.7991,20260426_171926
hamari_ja.md,claude-haiku-4-5,4212,7.32,12,164,1.7379,20260422_205919
combined/ebnf_ja-codesample_full_45.md,claude-haiku-4-5,28761,49.39,81,164,1.7173,20260426_142843
combined/pyguide_ja-codesample_full_45.md,claude-haiku-4-5,32522,54.88,90,164,1.6875,20260426_160659
combined/guide_ja-codesample_full_45.md,claude-haiku-4-5,31703,51.83,85,164,1.6349,20260426_151015
combined/rustguide_ja-codesample_full_45.md,claude-haiku-4-5,33661,54.27,89,164,1.6123,20260426_051354
ebnf_ja.md,claude-haiku-4-5,1925,0.61,1,164,0.3169,20260422_202539
apidoc_ja.md,gpt-5.4-2026-03-05,2598,0.0,0,164,0.0,20260422_135333
apidoc_ja.md,claude-haiku-4-5,2598,0.0,0,164,0.0,20260422_194346
apidoc_ja_only.md,gpt-5.4-2026-03-05,1966,0.0,0,164,0.0,20260425_153302
apidoc_ja_only.md,claude-haiku-4-5,1966,0.0,0,164,0.0,20260425_154710
hamari_ja_edit.md,gpt-5.4-2026-03-05,2671,0.0,0,164,0.0,20260425_160734
hamari_ja_edit.md,claude-haiku-4-5,2671,0.0,0,164,0.0,20260425_162537
